interval_start_local,pvgrpp_system_wide,stppf_system_wide,cop_hsl_system_wide,gen_system_wide,pvgrpp_centerwest,stppf_centerwest,cop_hsl_centerwest,gen_centerwest,pvgrpp_northwest,stppf_northwest,cop_hsl_northwest,gen_northwest,pvgrpp_fareast,stppf_fareast,cop_hsl_fareast,gen_fareast,pvgrpp_southeast,stppf_southeast,cop_hsl_southeast,gen_southeast,pvgrpp_centereast,stppf_centereast,cop_hsl_centereast,gen_centereast,hsl_system_wide
2023-01-01 00:00:00-06:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2023-01-01 01:00:00-06:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2023-01-01 02:00:00-06:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2023-01-01 03:00:00-06:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2023-01-01 04:00:00-06:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2023-01-01 05:00:00-06:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2023-01-01 06:00:00-06:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2023-01-01 07:00:00-06:00,32.9,71.1,66.4,,2.6,6.6,6.4,,0.3,0.9,0.9,,22.2,42.8,39.2,,3.9,8.6,7.9,,3.8,9.5,9.3,,
2023-01-01 08:00:00-06:00,928.3,1597.6,1540.7,,161.3,281.2,276.9,,23.8,36.7,36.7,,346.9,532.7,489.5,,96.6,172.9,172.9,,132.7,198.6,195.5,,
2023-01-01 09:00:00-06:00,3155.1,5145.1,5006.1,,666.1,982.2,982.2,,97.9,146.8,146.8,,732.4,1212.3,1102.9,,201.2,403.4,403.4,,365.6,547.0,538.1,,
