datetime,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST
2023-01-01 00:00:00,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56,-2.56
2023-01-01 01:00:00,-1.49,-1.49,-1.47,-1.51,-1.53,-1.48,-1.41
2023-01-01 02:00:00,-1.0,-1.01,-1.0,-1.01,-1.02,-1.0,-0.98
2023-01-01 03:00:00,-0.05,-0.06,-0.04,-0.07,-0.08,-0.05,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55
2023-01-01 06:00:00,2.45,2.57,2.4,2.44,2.21,2.7,1.88
2023-01-01 07:00:00,11.93,12.52,11.68,11.88,10.78,13.11,9.2
2023-01-01 08:00:00,22.51,23.79,21.96,22.4,20.0,25.09,16.57
2023-01-01 09:00:00,10.88,11.05,10.81,10.87,10.55,11.23,10.1
2023-01-01 10:00:00,20.22,20.23,20.21,20.22,20.2,20.24,20.18
2023-01-01 11:00:00,21.03,22.01,20.62,20.95,19.12,23.0,16.51
2023-01-01 12:00:00,12.89,13.32,12.7,12.85,12.04,13.76,10.88
2023-01-01 13:00:00,20.43,21.94,19.91,20.84,18.94,20.65,16.23
2023-01-01 14:00:00,40.16,41.47,39.6,40.05,37.6,42.81,34.08
2023-01-01 15:00:00,23.99,24.23,23.9,24.07,23.73,24.06,23.23
2023-01-01 16:00:00,45.81,45.82,45.81,45.81,45.8,45.83,45.78
2023-01-01 17:00:00,37.03,37.03,37.03,37.03,37.03,37.03,37.03
2023-01-01 18:00:00,26.62,26.62,26.62,26.62,26.62,26.62,26.62
2023-01-01 19:00:00,8.2,8.28,8.19,8.26,8.26,7.95,8.26
2023-01-01 20:00:00,7.9,7.9,7.9,7.9,7.9,7.9,7.9
2023-01-01 21:00:00,10.84,10.84,10.84,10.84,10.84,10.84,10.84
2023-01-01 22:00:00,2.42,2.42,2.42,2.42,2.42,2.42,2.42
2023-01-01 23:00:00,-1.49,-1.48,-1.49,-1.49,-1.49,-1.51,-1.49
2023-01-02 00:00:00,-2.61,-2.59,-2.61,-2.6,-2.6,-2.66,-2.6
2023-01-02 01:00:00,-5.46,-5.46,-5.46,-5.46,-5.46,-5.46,-5.46
2023-01-02 02:00:00,-26.01,-26.01,-26.01,-26.01,-26.01,-26.01,-26.01
2023-01-02 03:00:00,-30.75,-30.75,-30.75,-30.75,-30.75,-30.75,-30.75
2023-01-02 04:00:00,-30.56,-30.56,-30.56,-30.56,-30.56,-30.56,-30.56
2023-01-02 05:00:00,-10.27,-10.27,-10.27,-10.27,-10.27,-10.27,-10.27
2023-01-02 06:00:00,-2.23,-2.2,-2.23,-2.2,-2.21,-2.32,-2.21
2023-01-02 07:00:00,1.43,1.53,1.42,1.51,1.5,1.13,1.5
2023-01-02 08:00:00,10.45,10.69,10.42,10.64,10.62,9.74,10.62
2023-01-02 09:00:00,23.7,23.78,23.54,24.47,24.64,21.19,24.72
2023-01-02 10:00:00,19.75,19.86,19.62,20.37,20.44,17.78,20.48
2023-01-02 11:00:00,18.85,19.09,18.77,19.3,19.34,17.31,19.37
2023-01-02 12:00:00,9.99,10.17,9.95,10.23,10.24,9.16,10.25
2023-01-02 13:00:00,13.94,14.79,12.68,15.51,7.78,12.9,7.52
2023-01-02 14:00:00,15.11,17.57,12.92,17.09,1.3,16.17,0.87
