datetime,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST
2025-01-01 00:00:00,17.9,17.9,17.9,17.9,17.9,17.9,17.9
2025-01-01 01:00:00,17.97,17.97,17.97,17.97,17.97,17.97,17.97
2025-01-01 02:00:00,17.3,17.3,17.3,17.3,17.3,17.3,17.3
2025-01-01 03:00:00,17.62,17.58,17.6,17.75,17.82,17.21,17.86
2025-01-01 04:00:00,16.77,16.66,16.71,17.08,17.27,15.72,17.36
2025-01-01 05:00:00,19.95,19.77,19.85,20.5,20.82,18.13,20.99
2025-01-01 06:00:00,20.49,20.42,20.45,20.69,20.81,19.82,20.87
2025-01-01 07:00:00,20.94,20.16,20.47,22.07,23.46,18.59,21.06
2025-01-01 08:00:00,21.88,20.78,21.22,23.49,25.48,18.53,22.06
2025-01-01 09:00:00,14.78,14.78,14.78,14.78,14.78,14.78,14.78
2025-01-01 10:00:00,8.09,8.09,8.09,8.09,8.09,8.09,8.09
2025-01-01 11:00:00,13.29,13.29,13.29,13.29,13.29,13.29,13.29
2025-01-01 12:00:00,15.22,15.05,15.19,15.5,15.85,14.15,16.06
2025-01-01 13:00:00,15.17,15.04,15.12,15.58,15.95,13.68,16.2
2025-01-01 14:00:00,14.93,15.18,14.89,15.17,15.17,14.05,15.16
2025-01-01 15:00:00,6.75,6.81,6.75,6.8,6.8,6.58,6.79
2025-01-01 16:00:00,10.31,10.36,10.31,10.35,10.35,10.17,10.34
2025-01-01 17:00:00,34.08,34.12,34.08,34.12,34.12,33.95,34.12
2025-01-01 18:00:00,71.22,65.21,71.15,75.02,83.43,56.33,88.03
2025-01-01 19:00:00,109.33,108.93,109.32,109.59,110.15,108.33,110.46
2025-01-01 20:00:00,67.45,67.45,67.45,67.45,67.45,67.45,67.45
2025-01-01 21:00:00,34.16,34.16,34.16,34.16,34.16,34.16,34.16
2025-01-01 22:00:00,26.29,26.47,26.27,26.2,25.85,26.74,25.67
2025-01-01 23:00:00,22.54,22.75,22.52,22.43,22.03,23.07,21.83
2025-01-02 00:00:00,19.61,19.63,19.61,19.6,19.56,19.65,19.54
2025-01-02 01:00:00,19.72,19.72,19.72,19.72,0.34,19.72,19.71
2025-01-02 02:00:00,19.36,19.36,19.37,19.35,6.54,19.37,19.38
2025-01-02 03:00:00,19.16,19.16,19.17,19.15,18.89,19.17,19.18
2025-01-02 04:00:00,19.93,19.94,19.94,19.92,19.91,19.94,19.95
2025-01-02 05:00:00,20.45,20.45,20.45,20.43,20.43,20.46,20.47
2025-01-02 06:00:00,23.99,24.0,24.0,23.98,23.97,24.0,24.02
2025-01-02 07:00:00,23.44,23.45,23.45,23.43,23.42,23.45,23.47
2025-01-02 08:00:00,25.92,25.93,25.93,25.91,25.89,25.93,25.95
