interval_start_local,gen_system_wide,gen_centerwest,gen_northwest,gen_fareast,gen_southeast,gen_centereast
2025-01-01 00:00:00-06:00,0.72,0.0,0.0,0.35,0.0,0.36
2025-01-01 01:00:00-06:00,0.75,0.0,0.0,0.36,0.0,0.37
2025-01-01 02:00:00-06:00,0.73,0.0,0.0,0.35,0.0,0.36
2025-01-01 03:00:00-06:00,0.75,0.0,0.0,0.37,0.0,0.36
2025-01-01 04:00:00-06:00,0.76,0.0,0.0,0.37,0.0,0.36
2025-01-01 05:00:00-06:00,0.76,0.0,0.0,0.37,0.0,0.37
2025-01-01 06:00:00-06:00,0.77,0.0,0.0,0.36,0.0,0.38
2025-01-01 07:00:00-06:00,428.29,6.43,0.73,319.68,40.5,57.59
2025-01-01 08:00:00-06:00,7637.49,615.91,186.64,4487.37,653.62,1094.83
2025-01-01 09:00:00-06:00,16645.43,1759.14,574.34,8369.89,1440.57,2263.44
2025-01-01 10:00:00-06:00,18605.05,2068.59,682.6,8542.47,1673.63,2333.91
2025-01-01 11:00:00-06:00,18483.28,2039.06,718.28,8307.62,1854.34,2212.71
2025-01-01 12:00:00-06:00,17900.61,1968.93,749.42,8025.09,1804.69,2133.13
2025-01-01 13:00:00-06:00,18145.88,2082.0,837.43,8057.45,1737.66,2161.42
2025-01-01 14:00:00-06:00,18328.77,2127.45,904.14,8224.3,1510.02,2239.67
2025-01-01 15:00:00-06:00,17581.49,2025.93,1028.27,7744.67,1125.32,2162.41
2025-01-01 16:00:00-06:00,10459.31,1485.33,768.13,3715.99,489.74,1225.0
2025-01-01 17:00:00-06:00,1240.92,202.84,113.01,189.15,45.17,89.33
2025-01-01 18:00:00-06:00,0.73,0.0,0.0,0.28,0.0,0.36
2025-01-01 19:00:00-06:00,0.73,0.0,0.0,0.35,0.0,0.36
2025-01-01 20:00:00-06:00,0.73,0.0,0.0,0.33,0.0,0.37
2025-01-01 21:00:00-06:00,0.71,0.0,0.0,0.33,0.0,0.37
2025-01-01 22:00:00-06:00,0.72,0.0,0.0,0.33,0.0,0.38
2025-01-01 23:00:00-06:00,0.69,0.0,0.0,0.34,0.0,0.35
2025-01-02 00:00:00-06:00,0.71,0.0,0.0,0.34,0.0,0.35
2025-01-02 01:00:00-06:00,0.73,0.0,0.0,0.36,0.0,0.35
2025-01-02 02:00:00-06:00,0.76,0.0,0.0,0.38,0.0,0.36
2025-01-02 03:00:00-06:00,0.78,0.0,0.0,0.42,0.0,0.35
2025-01-02 04:00:00-06:00,0.78,0.0,0.0,0.42,0.0,0.35
2025-01-02 05:00:00-06:00,0.79,0.0,0.0,0.42,0.0,0.35
2025-01-02 06:00:00-06:00,0.79,0.0,0.0,0.41,0.0,0.35
2025-01-02 07:00:00-06:00,171.09,9.41,1.44,118.95,2.32,36.73
2025-01-02 08:00:00-06:00,4445.49,790.75,301.64,1821.97,80.07,539.75
2025-01-02 09:00:00-06:00,10794.93,1592.3,1067.75,3373.06,216.19,1361.09
2025-01-02 10:00:00-06:00,12375.01,1979.72,1126.82,3744.58,491.56,1539.24
2025-01-02 11:00:00-06:00,12668.92,2074.47,1174.88,4109.38,700.22,1211.62
2025-01-02 12:00:00-06:00,12334.16,2000.21,1139.5,3759.73,879.12,1224.69
2025-01-02 13:00:00-06:00,12063.04,2017.17,1140.8,3448.78,921.51,1162.84
2025-01-02 14:00:00-06:00,12452.68,2160.58,1207.3,3371.13,1026.6,1151.16
2025-01-02 15:00:00-06:00,11526.53,2182.89,1234.69,2506.25,907.99,1068.62
2025-01-02 16:00:00-06:00,7625.15,1595.97,767.03,1096.97,522.47,717.51
2025-01-02 17:00:00-06:00,1190.25,224.85,127.04,51.94,79.21,72.07
2025-01-02 18:00:00-06:00,0.59,0.0,0.0,0.22,0.0,0.36
2025-01-02 19:00:00-06:00,0.61,0.0,0.0,0.23,0.0,0.37
2025-01-02 20:00:00-06:00,0.62,0.0,0.0,0.23,0.0,0.37
2025-01-02 21:00:00-06:00,0.73,0.0,0.0,0.33,0.0,0.38
2025-01-02 22:00:00-06:00,0.73,0.0,0.0,0.34,0.0,0.36
2025-01-02 23:00:00-06:00,0.76,0.0,0.0,0.38,0.0,0.36
2025-01-03 00:00:00-06:00,0.79,0.0,0.0,0.41,0.0,0.36
2025-01-03 01:00:00-06:00,0.79,0.0,0.0,0.41,0.0,0.36
2025-01-03 02:00:00-06:00,0.79,0.0,0.0,0.41,0.0,0.36
2025-01-03 03:00:00-06:00,0.79,0.0,0.0,0.41,0.0,0.37
2025-01-03 04:00:00-06:00,0.81,0.0,0.0,0.42,0.0,0.37
2025-01-03 05:00:00-06:00,0.82,0.0,0.0,0.41,0.0,0.38
2025-01-03 06:00:00-06:00,0.82,0.0,0.0,0.42,0.0,0.38
2025-01-03 07:00:00-06:00,118.98,5.08,1.26,99.55,3.24,7.77
2025-01-03 08:00:00-06:00,3749.88,526.59,328.44,1580.98,107.45,271.98
2025-01-03 09:00:00-06:00,10439.41,1290.52,1132.89,3892.43,307.63,845.05
2025-01-03 10:00:00-06:00,12971.45,1165.85,1274.22,5146.23,564.5,1295.6
2025-01-03 11:00:00-06:00,13424.49,1247.75,1204.96,5462.78,656.51,1418.7
2025-01-03 12:00:00-06:00,13482.06,1454.91,1149.71,5332.9,739.76,1481.02
2025-01-03 13:00:00-06:00,14129.19,1575.04,1171.02,5624.95,900.59,1461.74
2025-01-03 14:00:00-06:00,14608.04,1612.29,1135.03,5807.65,975.73,1514.78
2025-01-03 15:00:00-06:00,14398.03,1782.8,1103.37,5531.2,911.38,1440.71
2025-01-03 16:00:00-06:00,8624.51,1320.4,839.46,2150.54,642.8,741.22
2025-01-03 17:00:00-06:00,1200.61,197.54,122.7,113.32,80.03,49.1
2025-01-03 18:00:00-06:00,0.6,0.0,0.0,0.15,0.0,0.36
2025-01-03 19:00:00-06:00,0.5,0.0,0.0,0.17,0.0,0.3
2025-01-03 20:00:00-06:00,0.5,0.0,0.0,0.19,0.0,0.29
2025-01-03 21:00:00-06:00,0.53,0.0,0.0,0.19,0.0,0.32
2025-01-03 22:00:00-06:00,0.62,0.0,0.0,0.3,0.0,0.3
2025-01-03 23:00:00-06:00,0.6,0.0,0.0,0.31,0.0,0.28
2025-01-04 00:00:00-06:00,0.61,0.0,0.0,0.32,0.0,0.28
2025-01-04 01:00:00-06:00,0.61,0.0,0.0,0.33,0.0,0.28
2025-01-04 02:00:00-06:00,0.63,0.0,0.0,0.33,0.0,0.28
2025-01-04 03:00:00-06:00,0.66,0.0,0.0,0.36,0.0,0.29
2025-01-04 04:00:00-06:00,0.7,0.0,0.0,0.4,0.0,0.29
2025-01-04 05:00:00-06:00,0.71,0.0,0.0,0.41,0.0,0.29
2025-01-04 06:00:00-06:00,0.67,0.0,0.0,0.37,0.0,0.29
2025-01-04 07:00:00-06:00,81.45,1.12,0.03,61.2,8.18,9.26
2025-01-04 08:00:00-06:00,1667.31,92.24,49.54,748.79,91.82,175.56
2025-01-04 09:00:00-06:00,5403.57,440.46,181.88,1737.42,409.73,500.02
2025-01-04 10:00:00-06:00,7522.53,997.73,452.72,2481.3,701.37,789.28
2025-01-04 11:00:00-06:00,7016.82,960.03,785.3,2436.72,654.91,812.38
