interval_start_local,pvgrpp_system_wide,stppf_system_wide,cop_hsl_system_wide,gen_system_wide,pvgrpp_centerwest,stppf_centerwest,cop_hsl_centerwest,gen_centerwest,pvgrpp_northwest,stppf_northwest,cop_hsl_northwest,gen_northwest,pvgrpp_fareast,stppf_fareast,cop_hsl_fareast,gen_fareast,pvgrpp_southeast,stppf_southeast,cop_hsl_southeast,gen_southeast,pvgrpp_centereast,stppf_centereast,cop_hsl_centereast,gen_centereast,hsl_system_wide
2022-06-30 00:00:00-05:00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-06-30 01:00:00-05:00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-06-30 02:00:00-05:00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-06-30 03:00:00-05:00,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-06-30 04:00:00-05:00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-06-30 05:00:00-05:00,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-06-30 06:00:00-05:00,25.1,33.7,31.9,47.16,2.4,3.4,2.9,3.73,2.6,2.9,3.0,2.18,17.2,23.3,22.3,30.72,0.1,0.2,0.1,0.54,2.8,3.8,3.6,9.38,
2022-06-30 07:00:00-05:00,1267.5,1420.1,1301.1,2073.94,220.9,252.8,231.2,447.86,44.1,49.2,60.2,92.42,346.8,390.5,415.7,556.71,73.7,88.2,91.7,133.92,152.2,161.2,118.2,185.91,
2022-06-30 08:00:00-05:00,4841.2,5280.6,4935.9,6737.22,950.9,1060.2,906.2,1374.04,186.2,190.1,218.4,280.49,771.3,888.4,1028.3,1379.67,283.0,345.7,333.4,399.01,340.8,346.1,311.1,442.95,
2022-06-30 09:00:00-05:00,6584.0,6965.8,6915.5,8354.66,1357.2,1428.7,1351.0,1700.55,265.3,273.5,288.1,356.98,1004.3,1141.0,1192.4,1331.02,407.9,453.7,443.5,574.85,387.8,410.0,423.1,547.37,
2022-06-30 10:00:00-05:00,6430.0,7137.6,7347.5,8832.91,1343.0,1461.1,1451.8,1773.14,273.0,294.2,299.9,372.14,950.4,1156.6,1254.9,1418.81,402.4,474.3,489.0,603.1,386.1,427.0,446.1,590.17,
