interval_start_local,pvgrpp_system_wide,stppf_system_wide,cop_hsl_system_wide,pvgrpp_centerwest,stppf_centerwest,cop_hsl_centerwest,pvgrpp_northwest,stppf_northwest,cop_hsl_northwest,pvgrpp_fareast,stppf_fareast,cop_hsl_fareast,pvgrpp_southeast,stppf_southeast,cop_hsl_southeast,pvgrpp_centereast,stppf_centereast,cop_hsl_centereast
2025-01-01 00:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 05:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 07:00:00-06:00,301.1,418.3,382.1,6.6,9.2,9.1,1.0,1.4,1.4,221.0,307.7,283.9,27.8,39.2,33.5,42.7,57.1,51.0
2025-01-01 08:00:00-06:00,5280.0,7174.1,6735.3,422.1,596.9,596.9,195.6,277.3,274.1,3047.9,4005.8,3825.2,406.9,621.8,574.9,710.1,959.9,863.7
2025-01-01 09:00:00-06:00,12449.9,16571.7,15911.3,1292.1,1809.5,1809.5,699.7,982.9,982.9,6310.7,7840.2,7510.2,749.3,1188.3,1111.8,1616.3,2094.7,1927.9
2025-01-01 10:00:00-06:00,14029.9,18722.6,17998.4,1569.4,2162.8,2162.8,807.3,1119.5,1119.5,6758.4,8395.6,8054.3,771.6,1338.7,1267.1,1797.7,2328.5,2134.4
2025-01-01 11:00:00-06:00,14157.5,18416.2,17669.4,1630.7,2133.5,2133.5,840.4,1087.6,1087.1,6446.9,7975.8,7639.4,881.9,1461.4,1379.4,1832.8,2311.1,2116.7
2025-01-01 12:00:00-06:00,13652.2,17609.2,16863.8,1635.6,2036.9,2036.9,892.8,1064.2,1063.9,5806.0,7446.9,7115.2,749.7,1403.5,1295.2,1833.7,2213.8,2026.0
2025-01-01 13:00:00-06:00,15073.7,18365.0,17579.0,1755.2,2115.3,2115.3,899.0,1073.9,1073.9,6662.1,7886.2,7545.9,1004.1,1522.2,1396.3,1906.5,2262.7,2064.3
2025-01-01 14:00:00-06:00,15255.7,18924.5,18374.9,1846.0,2239.9,2239.9,877.7,1086.7,1085.8,6689.6,8097.8,7765.4,903.5,1462.6,1462.6,1961.2,2353.6,2150.6
2025-01-01 15:00:00-06:00,13249.4,18199.0,17640.1,1604.4,2172.0,2172.0,772.6,1078.9,1078.9,5892.6,7755.4,7406.9,741.2,1322.7,1322.7,1771.3,2335.6,2138.4
2025-01-01 16:00:00-06:00,5726.9,10363.0,10071.8,827.6,1414.7,1414.7,428.6,669.4,667.9,2012.4,3666.3,3476.6,390.0,891.3,889.6,621.2,1157.5,1072.6
2025-01-01 17:00:00-06:00,201.0,1238.8,1209.9,29.7,195.5,195.5,29.7,89.5,86.6,18.6,228.3,221.8,15.5,127.2,123.1,9.2,94.2,83.7
2025-01-01 18:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 19:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 20:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
