interval_start_utc,interval_end_utc,publish_time_utc,interval_start_local,interval_end_local,publish_time_local,gen_system_wide,gen_lz_south_houston,gen_lz_west,gen_lz_north
2023-01-01 06:00:00+00:00,2023-01-01 07:00:00+00:00,2023-01-03 06:55:33+00:00,2023-01-01 00:00:00-06:00,2023-01-01T01:00:00-06:00,2023-01-03T00:55:33-06:00,21752.91,4318.38,15100.73,2333.8
2023-01-01 07:00:00+00:00,2023-01-01 08:00:00+00:00,2023-01-03 07:55:35+00:00,2023-01-01 01:00:00-06:00,2023-01-01T02:00:00-06:00,2023-01-03T01:55:35-06:00,21569.51,3685.25,15368.05,2516.21
2023-01-01 08:00:00+00:00,2023-01-01 09:00:00+00:00,2023-01-03 08:55:33+00:00,2023-01-01 02:00:00-06:00,2023-01-01T03:00:00-06:00,2023-01-03T02:55:33-06:00,21035.48,3544.24,14954.69,2536.55
2023-01-01 09:00:00+00:00,2023-01-01 10:00:00+00:00,2023-01-03 09:55:29+00:00,2023-01-01 03:00:00-06:00,2023-01-01T04:00:00-06:00,2023-01-03T03:55:29-06:00,20595.37,3571.74,14505.72,2517.91
2023-01-01 10:00:00+00:00,2023-01-01 11:00:00+00:00,2023-01-03 10:55:19+00:00,2023-01-01 04:00:00-06:00,2023-01-01T05:00:00-06:00,2023-01-03T04:55:19-06:00,20387.59,3295.9,14590.41,2501.28
2023-01-01 11:00:00+00:00,2023-01-01 12:00:00+00:00,2023-01-03 11:55:28+00:00,2023-01-01 05:00:00-06:00,2023-01-01T06:00:00-06:00,2023-01-03T05:55:28-06:00,20056.58,3049.63,14486.4,2520.55
2023-01-01 12:00:00+00:00,2023-01-01 13:00:00+00:00,2023-01-03 12:55:25+00:00,2023-01-01 06:00:00-06:00,2023-01-01T07:00:00-06:00,2023-01-03T06:55:25-06:00,19479.97,2726.14,14242.92,2510.91
2023-01-01 13:00:00+00:00,2023-01-01 14:00:00+00:00,2023-01-03 13:55:27+00:00,2023-01-01 07:00:00-06:00,2023-01-01T08:00:00-06:00,2023-01-03T07:55:27-06:00,17940.04,2288.57,13283.8,2367.67
2023-01-01 14:00:00+00:00,2023-01-01 15:00:00+00:00,2023-01-03 14:55:27+00:00,2023-01-01 08:00:00-06:00,2023-01-01T09:00:00-06:00,2023-01-03T08:55:27-06:00,16435.69,1826.29,12345.23,2264.17
2023-01-01 15:00:00+00:00,2023-01-01 16:00:00+00:00,2023-01-03 15:55:29+00:00,2023-01-01 09:00:00-06:00,2023-01-01T10:00:00-06:00,2023-01-03T09:55:29-06:00,13971.4,1932.53,10271.1,1767.77
2023-01-01 16:00:00+00:00,2023-01-01 17:00:00+00:00,2023-01-03 16:55:29+00:00,2023-01-01 10:00:00-06:00,2023-01-01T11:00:00-06:00,2023-01-03T10:55:29-06:00,10273.15,2062.39,6904.83,1305.93
2023-01-01 17:00:00+00:00,2023-01-01 18:00:00+00:00,2023-01-03 17:55:28+00:00,2023-01-01 11:00:00-06:00,2023-01-01T12:00:00-06:00,2023-01-03T11:55:28-06:00,9406.46,2336.22,6078.3,991.94
2023-01-01 18:00:00+00:00,2023-01-01 19:00:00+00:00,2023-01-03 18:55:28+00:00,2023-01-01 12:00:00-06:00,2023-01-01T13:00:00-06:00,2023-01-03T12:55:28-06:00,9701.34,2708.48,5946.21,1046.65
2023-01-01 19:00:00+00:00,2023-01-01 20:00:00+00:00,2023-01-03 19:55:21+00:00,2023-01-01 13:00:00-06:00,2023-01-01T14:00:00-06:00,2023-01-03T13:55:21-06:00,8283.2,2721.32,4600.52,961.36
2023-01-01 20:00:00+00:00,2023-01-01 21:00:00+00:00,2023-01-03 20:55:35+00:00,2023-01-01 14:00:00-06:00,2023-01-01T15:00:00-06:00,2023-01-03T14:55:35-06:00,7609.7,2771.16,3833.42,1005.12
2023-01-01 21:00:00+00:00,2023-01-01 22:00:00+00:00,2023-01-03 21:55:29+00:00,2023-01-01 15:00:00-06:00,2023-01-01T16:00:00-06:00,2023-01-03T15:55:29-06:00,8446.04,3070.75,4344.99,1030.3
2023-01-01 22:00:00+00:00,2023-01-01 23:00:00+00:00,2023-01-03 22:55:32+00:00,2023-01-01 16:00:00-06:00,2023-01-01T17:00:00-06:00,2023-01-03T16:55:32-06:00,9374.43,3693.1,4660.98,1020.35
2023-01-01 23:00:00+00:00,2023-01-02 00:00:00+00:00,2023-01-03 23:55:25+00:00,2023-01-01 17:00:00-06:00,2023-01-01T18:00:00-06:00,2023-01-03T17:55:25-06:00,10981.87,4430.8,5344.73,1206.34
2023-01-02 00:00:00+00:00,2023-01-02 01:00:00+00:00,2023-01-04 00:55:34+00:00,2023-01-01 18:00:00-06:00,2023-01-01T19:00:00-06:00,2023-01-03T18:55:34-06:00,16139.49,5204.23,8918.7,2016.56
2023-01-02 01:00:00+00:00,2023-01-02 02:00:00+00:00,2023-01-04 01:55:30+00:00,2023-01-01 19:00:00-06:00,2023-01-01T20:00:00-06:00,2023-01-03T19:55:30-06:00,20223.3,5608.28,12317.29,2297.73
2023-01-02 02:00:00+00:00,2023-01-02 03:00:00+00:00,2023-01-04 02:55:22+00:00,2023-01-01 20:00:00-06:00,2023-01-01T21:00:00-06:00,2023-01-03T20:55:22-06:00,21557.42,5716.97,13419.13,2421.32
2023-01-02 03:00:00+00:00,2023-01-02 04:00:00+00:00,2023-01-04 03:55:29+00:00,2023-01-01 21:00:00-06:00,2023-01-01T22:00:00-06:00,2023-01-03T21:55:29-06:00,22518.8,5856.5,14175.77,2486.53
2023-01-02 04:00:00+00:00,2023-01-02 05:00:00+00:00,2023-01-04 04:55:31+00:00,2023-01-01 22:00:00-06:00,2023-01-01T23:00:00-06:00,2023-01-03T22:55:31-06:00,23886.76,6305.16,15000.35,2581.25
2023-01-02 05:00:00+00:00,2023-01-02 06:00:00+00:00,2023-01-04 05:55:23+00:00,2023-01-01 23:00:00-06:00,2023-01-02T00:00:00-06:00,2023-01-03T23:55:23-06:00,23563.64,6116.76,15050.59,2396.29
2023-01-02 06:00:00+00:00,2023-01-02 07:00:00+00:00,2023-01-04 06:55:41+00:00,2023-01-02 00:00:00-06:00,2023-01-02T01:00:00-06:00,2023-01-04T00:55:41-06:00,22603.36,5869.2,14565.75,2168.41
2023-01-02 07:00:00+00:00,2023-01-02 08:00:00+00:00,2023-01-04 07:55:31+00:00,2023-01-02 01:00:00-06:00,2023-01-02T02:00:00-06:00,2023-01-04T01:55:31-06:00,21871.56,5651.21,14212.2,2008.15
2023-01-02 08:00:00+00:00,2023-01-02 09:00:00+00:00,2023-01-04 08:55:21+00:00,2023-01-02 02:00:00-06:00,2023-01-02T03:00:00-06:00,2023-01-04T02:55:21-06:00,21430.66,5554.21,13864.21,2012.24
2023-01-02 09:00:00+00:00,2023-01-02 10:00:00+00:00,2023-01-04 09:55:26+00:00,2023-01-02 03:00:00-06:00,2023-01-02T04:00:00-06:00,2023-01-04T03:55:26-06:00,20826.78,5455.9,13299.03,2071.85
2023-01-02 10:00:00+00:00,2023-01-02 11:00:00+00:00,2023-01-04 10:55:32+00:00,2023-01-02 04:00:00-06:00,2023-01-02T05:00:00-06:00,2023-01-04T04:55:32-06:00,20714.0,5555.59,13019.94,2138.47
2023-01-02 11:00:00+00:00,2023-01-02 12:00:00+00:00,2023-01-04 11:55:33+00:00,2023-01-02 05:00:00-06:00,2023-01-02T06:00:00-06:00,2023-01-04T05:55:33-06:00,20831.03,5911.14,12706.92,2212.97
2023-01-02 12:00:00+00:00,2023-01-02 13:00:00+00:00,2023-01-04 12:55:31+00:00,2023-01-02 06:00:00-06:00,2023-01-02T07:00:00-06:00,2023-01-04T06:55:31-06:00,21971.93,6398.46,13224.01,2349.46
2023-01-02 13:00:00+00:00,2023-01-02 14:00:00+00:00,2023-01-04 13:55:28+00:00,2023-01-02 07:00:00-06:00,2023-01-02T08:00:00-06:00,2023-01-04T07:55:28-06:00,21985.86,6455.8,13081.78,2448.28
2023-01-02 14:00:00+00:00,2023-01-02 15:00:00+00:00,2023-01-04 14:55:23+00:00,2023-01-02 08:00:00-06:00,2023-01-02T09:00:00-06:00,2023-01-04T08:55:23-06:00,19702.23,6273.5,11161.99,2266.74
2023-01-02 15:00:00+00:00,2023-01-02 16:00:00+00:00,2023-01-04 15:55:30+00:00,2023-01-02 09:00:00-06:00,2023-01-02T10:00:00-06:00,2023-01-04T09:55:30-06:00,17474.92,6034.37,9072.05,2368.5
2023-01-02 16:00:00+00:00,2023-01-02 17:00:00+00:00,2023-01-04 16:55:28+00:00,2023-01-02 10:00:00-06:00,2023-01-02T11:00:00-06:00,2023-01-04T10:55:28-06:00,16430.09,5826.5,8112.21,2491.38
2023-01-02 17:00:00+00:00,2023-01-02 18:00:00+00:00,2023-01-04 17:55:31+00:00,2023-01-02 11:00:00-06:00,2023-01-02T12:00:00-06:00,2023-01-04T11:55:31-06:00,17080.94,5520.29,9076.2,2484.45
2023-01-02 18:00:00+00:00,2023-01-02 19:00:00+00:00,2023-01-04 18:55:31+00:00,2023-01-02 12:00:00-06:00,2023-01-02T13:00:00-06:00,2023-01-04T12:55:31-06:00,19276.02,5095.61,11621.92,2558.49
2023-01-02 19:00:00+00:00,2023-01-02 20:00:00+00:00,2023-01-04 19:55:34+00:00,2023-01-02 13:00:00-06:00,2023-01-02T14:00:00-06:00,2023-01-04T13:55:34-06:00,19429.66,4400.94,12682.35,2346.37
2023-01-02 20:00:00+00:00,2023-01-02 21:00:00+00:00,2023-01-04 20:55:32+00:00,2023-01-02 14:00:00-06:00,2023-01-02T15:00:00-06:00,2023-01-04T14:55:32-06:00,19861.81,4372.97,13389.92,2098.92
2023-01-02 21:00:00+00:00,2023-01-02 22:00:00+00:00,2023-01-04 21:55:27+00:00,2023-01-02 15:00:00-06:00,2023-01-02T16:00:00-06:00,2023-01-04T15:55:27-06:00,20620.61,4496.55,14273.6,1850.46
2023-01-02 22:00:00+00:00,2023-01-02 23:00:00+00:00,2023-01-04 22:55:36+00:00,2023-01-02 16:00:00-06:00,2023-01-02T17:00:00-06:00,2023-01-04T16:55:36-06:00,21886.99,5000.95,15360.06,1525.98
