interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,gen_system_wide,gen_lz_south_houston,gen_lz_west,gen_lz_north
2025-01-01 00:00:00-06:00,2025-01-01 06:00:00+00:00,2025-01-01 01:00:00-06:00,2025-01-01 07:00:00+00:00,2025-01-03 00:55:15-06:00,2025-01-03 06:55:15+00:00,14370.12,3832.3,9177.81,1360.01
2025-01-01 01:00:00-06:00,2025-01-01 07:00:00+00:00,2025-01-01 02:00:00-06:00,2025-01-01 08:00:00+00:00,2025-01-03 01:55:09-06:00,2025-01-03 07:55:09+00:00,14889.31,3965.46,9471.44,1452.41
2025-01-01 02:00:00-06:00,2025-01-01 08:00:00+00:00,2025-01-01 03:00:00-06:00,2025-01-01 09:00:00+00:00,2025-01-03 02:55:10-06:00,2025-01-03 08:55:10+00:00,15306.8,4204.55,9689.47,1412.78
2025-01-01 03:00:00-06:00,2025-01-01 09:00:00+00:00,2025-01-01 04:00:00-06:00,2025-01-01 10:00:00+00:00,2025-01-03 03:55:10-06:00,2025-01-03 09:55:10+00:00,15026.01,4371.51,9209.34,1445.16
2025-01-01 04:00:00-06:00,2025-01-01 10:00:00+00:00,2025-01-01 05:00:00-06:00,2025-01-01 11:00:00+00:00,2025-01-03 04:55:10-06:00,2025-01-03 10:55:10+00:00,14531.85,4379.07,8431.45,1721.33
2025-01-01 05:00:00-06:00,2025-01-01 11:00:00+00:00,2025-01-01 06:00:00-06:00,2025-01-01 12:00:00+00:00,2025-01-03 05:55:11-06:00,2025-01-03 11:55:11+00:00,13816.9,4310.36,7829.45,1677.09
2025-01-01 06:00:00-06:00,2025-01-01 12:00:00+00:00,2025-01-01 07:00:00-06:00,2025-01-01 13:00:00+00:00,2025-01-03 06:55:11-06:00,2025-01-03 12:55:11+00:00,13887.61,4208.84,8000.54,1678.23
2025-01-01 07:00:00-06:00,2025-01-01 13:00:00+00:00,2025-01-01 08:00:00-06:00,2025-01-01 14:00:00+00:00,2025-01-03 07:55:08-06:00,2025-01-03 13:55:08+00:00,12591.47,3960.92,7092.75,1537.8
2025-01-01 08:00:00-06:00,2025-01-01 14:00:00+00:00,2025-01-01 09:00:00-06:00,2025-01-01 15:00:00+00:00,2025-01-03 08:55:07-06:00,2025-01-03 14:55:07+00:00,9980.77,3471.43,5225.79,1283.55
2025-01-01 09:00:00-06:00,2025-01-01 15:00:00+00:00,2025-01-01 10:00:00-06:00,2025-01-01 16:00:00+00:00,2025-01-03 09:55:07-06:00,2025-01-03 15:55:07+00:00,7870.66,3306.98,3803.56,760.12
