interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,cop_hsl_system_wide,stwpf_system_wide,wgrpp_system_wide,cop_hsl_lz_south_houston,stwpf_lz_south_houston,wgrpp_lz_south_houston,cop_hsl_lz_west,stwpf_lz_west,wgrpp_lz_west,cop_hsl_lz_north,stwpf_lz_north,wgrpp_lz_north
2025-01-01 00:00:00-06:00,2025-01-01 06:00:00+00:00,2025-01-01 01:00:00-06:00,2025-01-01 07:00:00+00:00,2024-12-30 23:55:09-06:00,2024-12-31 05:55:09+00:00,11742.5,12047.9,10402.0,2926.1,3022.2,2613.7,7738.2,7947.5,6868.2,1078.2,1078.2,920.1
2025-01-01 01:00:00-06:00,2025-01-01 07:00:00+00:00,2025-01-01 02:00:00-06:00,2025-01-01 08:00:00+00:00,2024-12-31 00:55:10-06:00,2024-12-31 06:55:10+00:00,11620.4,11927.6,10295.1,2855.3,2945.7,2548.3,7646.0,7862.2,6784.9,1119.1,1119.7,961.9
2025-01-01 02:00:00-06:00,2025-01-01 08:00:00+00:00,2025-01-01 03:00:00-06:00,2025-01-01 09:00:00+00:00,2024-12-31 01:55:09-06:00,2024-12-31 07:55:09+00:00,11836.8,12142.0,10488.0,3038.8,3123.9,2721.0,7606.9,7827.0,6736.3,1191.1,1191.1,1030.7
2025-01-01 03:00:00-06:00,2025-01-01 09:00:00+00:00,2025-01-01 04:00:00-06:00,2025-01-01 10:00:00+00:00,2024-12-31 02:55:10-06:00,2024-12-31 08:55:10+00:00,12075.1,12379.8,10701.6,3258.2,3342.4,2933.8,7569.4,7789.9,6682.5,1247.5,1247.5,1085.3
2025-01-01 04:00:00-06:00,2025-01-01 10:00:00+00:00,2025-01-01 05:00:00-06:00,2025-01-01 11:00:00+00:00,2024-12-31 03:55:09-06:00,2024-12-31 09:55:09+00:00,12036.0,12342.9,10669.5,3385.4,3472.0,3064.6,7362.3,7582.6,6478.4,1288.3,1288.3,1126.5
2025-01-01 05:00:00-06:00,2025-01-01 11:00:00+00:00,2025-01-01 06:00:00-06:00,2025-01-01 12:00:00+00:00,2024-12-31 04:55:09-06:00,2024-12-31 10:55:09+00:00,11632.4,11931.5,10297.7,3320.8,3417.3,3018.9,7091.2,7293.8,6216.4,1220.4,1220.4,1062.4
2025-01-01 06:00:00-06:00,2025-01-01 12:00:00+00:00,2025-01-01 07:00:00-06:00,2025-01-01 13:00:00+00:00,2024-12-31 05:55:09-06:00,2024-12-31 11:55:09+00:00,11251.3,11565.4,9963.2,3300.5,3415.0,3025.1,6773.1,6972.7,5915.2,1177.7,1177.7,1022.9
2025-01-01 07:00:00-06:00,2025-01-01 13:00:00+00:00,2025-01-01 08:00:00-06:00,2025-01-01 14:00:00+00:00,2024-12-31 06:55:09-06:00,2024-12-31 12:55:09+00:00,10343.2,10703.8,9177.2,3171.3,3367.9,2995.6,6088.4,6252.4,5245.7,1083.5,1083.5,935.9
2025-01-01 08:00:00-06:00,2025-01-01 14:00:00+00:00,2025-01-01 09:00:00-06:00,2025-01-01 15:00:00+00:00,2024-12-31 07:55:10-06:00,2024-12-31 13:55:10+00:00,9159.3,9309.3,7905.7,3017.8,3029.5,2694.2,5249.1,5387.4,4455.8,892.4,892.4,755.7
2025-01-01 09:00:00-06:00,2025-01-01 15:00:00+00:00,2025-01-01 10:00:00-06:00,2025-01-01 16:00:00+00:00,2024-12-31 08:55:09-06:00,2024-12-31 14:55:09+00:00,7711.0,7833.3,6564.6,2829.9,2829.9,2519.4,4265.3,4387.6,3552.6,615.8,615.8,492.6
2025-01-01 10:00:00-06:00,2025-01-01 16:00:00+00:00,2025-01-01 11:00:00-06:00,2025-01-01 17:00:00+00:00,2024-12-31 09:55:09-06:00,2024-12-31 15:55:09+00:00,7012.9,7135.5,5923.7,2720.2,2720.2,2421.5,3863.6,3986.2,3191.6,429.1,429.1,310.6
