interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,north,south,west,houston,system_total,forecast_date,publish_time_used
2025-01-01 00:00:00-06:00,2025-01-01 06:00:00+00:00,2025-01-01 01:00:00-06:00,2025-01-01 07:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15241.26981506348,10764.112549291993,8686.96674248047,10447.770644140624,45140.11975097657,2025-01-01,latest
2025-01-01 01:00:00-06:00,2025-01-01 07:00:00+00:00,2025-01-01 02:00:00-06:00,2025-01-01 08:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15086.945770068352,10641.85997399902,8727.281458666987,10371.972977929689,44828.06018066405,2025-01-01,latest
2025-01-01 02:00:00-06:00,2025-01-01 08:00:00+00:00,2025-01-01 03:00:00-06:00,2025-01-01 09:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15049.549788293456,10540.620258972169,8756.140120019532,10196.219129589845,44542.529296875,2025-01-01,latest
2025-01-01 03:00:00-06:00,2025-01-01 09:00:00+00:00,2025-01-01 04:00:00-06:00,2025-01-01 10:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15072.95031324463,10397.694547485358,8760.957437414552,10116.567623730469,44348.16992187501,2025-01-01,latest
2025-01-01 04:00:00-06:00,2025-01-01 10:00:00+00:00,2025-01-01 05:00:00-06:00,2025-01-01 11:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15414.521238867192,10539.00325375976,8800.28938647461,10136.126550585936,44889.9404296875,2025-01-01,latest
2025-01-01 05:00:00-06:00,2025-01-01 11:00:00+00:00,2025-01-01 06:00:00-06:00,2025-01-01 12:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,16116.647283935545,10932.338081298823,8904.461991308593,10450.182404199219,46403.62976074218,2025-01-01,latest
2025-01-01 06:00:00-06:00,2025-01-01 12:00:00+00:00,2025-01-01 07:00:00-06:00,2025-01-01 13:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,17190.09593502197,11704.346346789556,9088.844046704104,10938.424242773435,48921.71057128907,2025-01-01,latest
2025-01-01 07:00:00-06:00,2025-01-01 13:00:00+00:00,2025-01-01 08:00:00-06:00,2025-01-01 14:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,17891.00519230957,12130.216698840337,9112.695678479007,11133.542879589844,50267.46044921876,2025-01-01,latest
2025-01-01 08:00:00-06:00,2025-01-01 14:00:00+00:00,2025-01-01 09:00:00-06:00,2025-01-01 15:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,17729.450473815916,12214.298894042971,9147.431717395018,11230.00922236328,50321.19030761719,2025-01-01,latest
2025-01-01 09:00:00-06:00,2025-01-01 15:00:00+00:00,2025-01-01 10:00:00-06:00,2025-01-01 16:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,17593.115154492196,12037.085259350582,9090.94274006348,11351.10684609375,50072.25000000001,2025-01-01,latest
2025-01-01 10:00:00-06:00,2025-01-01 16:00:00+00:00,2025-01-01 11:00:00-06:00,2025-01-01 17:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,16914.629635974117,11930.398996655276,9027.398631042483,11372.372907226561,49244.80017089844,2025-01-01,latest
2025-01-01 11:00:00-06:00,2025-01-01 17:00:00+00:00,2025-01-01 12:00:00-06:00,2025-01-01 18:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,16163.66095229492,11804.412173449711,8953.26085003662,11285.326912890623,48206.66088867188,2025-01-01,latest
2025-01-01 12:00:00-06:00,2025-01-01 18:00:00+00:00,2025-01-01 13:00:00-06:00,2025-01-01 19:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15484.839554980468,11538.441388244633,8832.786343688966,11034.392918164061,46890.46020507813,2025-01-01,latest
2025-01-01 13:00:00-06:00,2025-01-01 19:00:00+00:00,2025-01-01 14:00:00-06:00,2025-01-01 20:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15090.536860583496,11349.445675122071,8762.06478822022,10926.293618457032,46128.34094238282,2025-01-01,latest
2025-01-01 14:00:00-06:00,2025-01-01 20:00:00+00:00,2025-01-01 15:00:00-06:00,2025-01-01 21:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,14751.272956433108,11302.2733892456,8779.381333325193,10969.092096386717,45802.01977539062,2025-01-01,latest
2025-01-01 15:00:00-06:00,2025-01-01 21:00:00+00:00,2025-01-01 16:00:00-06:00,2025-01-01 22:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,14614.858860205079,11480.7580774414,8782.774495654297,11205.068771777343,46083.46020507812,2025-01-01,latest
2025-01-01 16:00:00-06:00,2025-01-01 22:00:00+00:00,2025-01-01 17:00:00-06:00,2025-01-01 23:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,14965.918918188476,11644.016085925296,8671.662079968259,11174.402427636718,46455.99951171875,2025-01-01,latest
2025-01-01 17:00:00-06:00,2025-01-01 23:00:00+00:00,2025-01-01 18:00:00-06:00,2025-01-02 00:00:00+00:00,2024-12-31 14:30:00-06:00,2024-12-31 20:30:00+00:00,15938.890504418947,12377.232542712405,8683.473240075682,11585.373805566405,48584.97009277344,2025-01-01,latest
2025-01-01 18:00:00-06:00,2025-01-02 00:00:00+00:00,2025-01-01 19:00:00-06:00,2025-01-02 01:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,17160.189201550285,12479.687243554688,8889.779150695798,11709.354047753906,50239.00964355468,2025-01-01,latest
2025-01-01 19:00:00-06:00,2025-01-02 01:00:00+00:00,2025-01-01 20:00:00-06:00,2025-01-02 02:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,17240.758328540043,12478.48241124268,8657.443534826662,11671.5254421875,50048.20971679689,2025-01-01,latest
2025-01-01 20:00:00-06:00,2025-01-02 02:00:00+00:00,2025-01-01 21:00:00-06:00,2025-01-02 03:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,17292.06339676514,12407.346887548829,8564.479266467284,11645.390600585935,49909.28015136719,2025-01-01,latest
2025-01-01 21:00:00-06:00,2025-01-02 03:00:00+00:00,2025-01-01 22:00:00-06:00,2025-01-02 04:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,17111.809377624515,12218.454615881345,8599.629326611332,11551.855947460936,49481.74926757813,2025-01-01,latest
2025-01-01 22:00:00-06:00,2025-01-02 04:00:00+00:00,2025-01-01 23:00:00-06:00,2025-01-02 05:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,16629.040175744627,12055.574346545412,8600.986590600587,11228.619590234375,48514.220703125,2025-01-01,latest
2025-01-01 23:00:00-06:00,2025-01-02 05:00:00+00:00,2025-01-02 00:00:00-06:00,2025-01-02 06:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,16236.119297387697,11540.072612854005,8507.534546789553,10781.233748046876,47064.96020507813,2025-01-01,latest
2025-01-02 00:00:00-06:00,2025-01-02 06:00:00+00:00,2025-01-02 01:00:00-06:00,2025-01-02 07:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,16233.94699144288,10807.065804211432,9082.535459326176,10589.741417871091,46713.28967285158,2025-01-02,latest
2025-01-02 01:00:00-06:00,2025-01-02 07:00:00+00:00,2025-01-02 02:00:00-06:00,2025-01-02 08:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,16074.5423315918,10581.516276513672,9075.17675703125,10367.204942480468,46098.44030761719,2025-01-02,latest
2025-01-02 02:00:00-06:00,2025-01-02 08:00:00+00:00,2025-01-02 03:00:00-06:00,2025-01-02 09:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,16161.771065795903,10436.26428752442,9072.11474746094,10306.649459765624,45976.79956054689,2025-01-02,latest
2025-01-02 03:00:00-06:00,2025-01-02 09:00:00+00:00,2025-01-02 04:00:00-06:00,2025-01-02 10:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,16347.131661840824,10307.15420909424,9083.259454846193,10177.874718164063,45915.42004394532,2025-01-02,latest
2025-01-02 04:00:00-06:00,2025-01-02 10:00:00+00:00,2025-01-02 05:00:00-06:00,2025-01-02 11:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,16617.185274011234,10348.494813720697,9112.44043482666,10258.18001455078,46336.30053710937,2025-01-02,latest
2025-01-02 05:00:00-06:00,2025-01-02 11:00:00+00:00,2025-01-02 06:00:00-06:00,2025-01-02 12:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,17328.83750220948,10829.868818359377,9178.547051208496,10609.756515917968,47947.00988769532,2025-01-02,latest
2025-01-02 06:00:00-06:00,2025-01-02 12:00:00+00:00,2025-01-02 07:00:00-06:00,2025-01-02 13:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,18070.440913696293,11374.395254687504,9252.087920678712,10968.626081835935,49665.55017089845,2025-01-02,latest
2025-01-02 07:00:00-06:00,2025-01-02 13:00:00+00:00,2025-01-02 08:00:00-06:00,2025-01-02 14:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,18953.057618200684,11754.978419360352,9287.616631970219,11141.607218164061,51137.25988769532,2025-01-02,latest
2025-01-02 08:00:00-06:00,2025-01-02 14:00:00+00:00,2025-01-02 09:00:00-06:00,2025-01-02 15:00:00+00:00,2025-01-01 14:30:00-06:00,2025-01-01 20:30:00+00:00,19029.29631218262,11981.64708052978,9434.105899963379,11372.510155566406,51817.55944824219,2025-01-02,latest
