interval_start_local,HB_NORTH,time_hour,time_dayofweek,time_is_weekend,time_hour_sin,time_hour_cos,weather_temp_7d_mean,weather_temp_anom,weather_temp_f_lag1,weather_CDD65_lag1,weather_HDD65_lag1,weather_dewpoint_C_lag1,weather_deltaT_dew_C_lag1,weather_slp_hPa_lag1,weather_windspd_ms_lag1,weather_temp_f_lag2,weather_CDD65_lag2,weather_HDD65_lag2,weather_dewpoint_C_lag2,weather_deltaT_dew_C_lag2,weather_slp_hPa_lag2,weather_windspd_ms_lag2,weather_temp_f_lag4,weather_CDD65_lag4,weather_HDD65_lag4,weather_dewpoint_C_lag4,weather_deltaT_dew_C_lag4,weather_slp_hPa_lag4,weather_windspd_ms_lag4,weather_temp_f_lag12,weather_CDD65_lag12,weather_HDD65_lag12,weather_dewpoint_C_lag12,weather_deltaT_dew_C_lag12,weather_slp_hPa_lag12,weather_windspd_ms_lag12,weather_temp_f_lag24,weather_CDD65_lag24,weather_HDD65_lag24,weather_dewpoint_C_lag24,weather_deltaT_dew_C_lag24,weather_slp_hPa_lag24,weather_windspd_ms_lag24,load_ramp_hist,load_rolling_6h_hist,load_rolling_24h_hist,load_vol_24h_hist,load_system_lag1,load_system_lag2,load_system_lag4,load_system_lag12,load_system_lag24,solar_share_centerwest,solar_share_northwest,solar_share_fareast,solar_share_southeast,solar_share_centereast,solar_system_wide_lag1,solar_centerwest_lag1,solar_northwest_lag1,solar_fareast_lag1,solar_southeast_lag1,solar_centereast_lag1,solar_total_regions_lag1,solar_system_wide_lag2,solar_centerwest_lag2,solar_northwest_lag2,solar_fareast_lag2,solar_southeast_lag2,solar_centereast_lag2,solar_total_regions_lag2,solar_system_wide_lag4,solar_centerwest_lag4,solar_northwest_lag4,solar_fareast_lag4,solar_southeast_lag4,solar_centereast_lag4,solar_total_regions_lag4,solar_system_wide_lag12,solar_centerwest_lag12,solar_northwest_lag12,solar_fareast_lag12,solar_southeast_lag12,solar_centereast_lag12,solar_total_regions_lag12,solar_system_wide_lag24,solar_centerwest_lag24,solar_northwest_lag24,solar_fareast_lag24,solar_southeast_lag24,solar_centereast_lag24,solar_total_regions_lag24,wind_share_lz_south_houston,wind_share_lz_west,wind_share_lz_north,wind_system_wide_lag1,wind_lz_south_houston_lag1,wind_lz_west_lag1,wind_lz_north_lag1,wind_total_regions_lag1,wind_system_wide_lag2,wind_lz_south_houston_lag2,wind_lz_west_lag2,wind_lz_north_lag2,wind_total_regions_lag2,wind_system_wide_lag4,wind_lz_south_houston_lag4,wind_lz_west_lag4,wind_lz_north_lag4,wind_total_regions_lag4,wind_system_wide_lag12,wind_lz_south_houston_lag12,wind_lz_west_lag12,wind_lz_north_lag12,wind_total_regions_lag12,wind_system_wide_lag24,wind_lz_south_houston_lag24,wind_lz_west_lag24,wind_lz_north_lag24,wind_total_regions_lag24,price_ramp_hist,price_rolling_6h_hist,price_rolling_24h_hist,price_vol_24h_hist,price_lag1,price_lag2,price_lag4,price_lag12,price_lag24,is_90th_percentile
2023-01-16 22:00:00,312.8,22,0,0,-0.5000000000000004,0.8660254037844384,58.01607142857144,17.453928571428563,75.47,10.47,0.0,8.05,16.099999999999998,1004.25,7.2,75.92,10.920000000000002,0.0,7.8,16.599999999999998,1004.4,6.7,71.50999999999999,6.509999999999991,0.0,10.85,11.1,1006.55,6.7,64.04,0.0,0.9599999999999936,13.3,4.5,1005.7,8.8,69.08,4.079999999999998,0.0,10.6,10.000000000000002,1006.1,9.3,-69.66666666666424,36441.23611111112,40463.496527777774,3820.70611253429,34583.333333333336,34653.0,36193.75,44431.666666666664,34517.5,0.0,0.0,0.6756756756756757,0.0,0.3243243243243243,0.29,0.0,0.0,0.2,0.0,0.09,0.29,0.27,0.0,0.0,0.2,0.0,0.06,0.26,2.5,0.0,0.0,0.19,0.07,0.02,0.28,4823.89,895.35,263.55,882.74,485.83,507.8,3035.2700000000004,0.26,0.0,0.0,0.2,0.0,0.04,0.24,0.1222743370320886,0.7633677051732141,0.1143579577946972,15820.56,1771.33,12219.51,1829.72,15820.56,15460.81,1873.03,11860.38,1727.4,15460.81,13793.46,1542.42,11077.67,1173.37,13793.46,12275.99,3178.34,7883.83,1213.82,12275.99,24718.82,6142.1,15597.3,2979.42,24718.82,-4.939999999999998,21.495,33.419583333333335,49.23313990632969,20.37,25.31,28.41,62.09,2.04,1
2023-01-30 08:00:00,760.61,8,0,0,0.8660254037844387,-0.4999999999999998,44.864017857142855,-16.824017857142856,28.04,0.0,36.96,-4.4,2.2,1023.7,8.2,29.3,0.0,35.7,-3.9,2.4,1023.85,7.2,30.92,0.0,34.08,-3.9,3.3,1023.8,6.7,34.52,0.0,30.479999999999997,-1.4,2.8,1018.6,9.0,57.92,0.0,7.079999999999998,13.3,1.0999999999999996,1013.7,4.1,413.41666666666424,58776.291666666664,51059.3125,5339.739308750622,60147.416666666664,59734.0,58559.833333333336,44909.166666666664,46474.583333333336,0.140333091962346,0.0619840695148443,0.5234612599565531,0.1591600289645184,0.1150615496017378,7.76,0.21,0.03,4.44,2.43,0.33,7.440000000000001,0.23,0.0,0.0,0.2,0.0,0.02,0.22,0.23,0.0,0.0,0.2,0.0,0.02,0.22,0.21,0.0,0.0,0.19,0.0,0.02,0.21,548.76,68.7,9.72,230.84,73.09,27.9,410.25,0.4043555811954742,0.5008241402451229,0.0948202785594028,7906.47,2691.66,4365.01,849.8,7906.47,9470.62,2807.89,5644.73,1018.0,9470.62,12915.38,2887.99,8519.27,1508.12,12915.38,12972.04,2885.44,8967.06,1119.54,12972.04,15179.04,2958.82,10810.77,1409.45,15179.04,133.07,69.68,39.09458333333333,38.04001782781632,199.34,66.27,26.26,32.33,15.5,1
2023-01-30 10:00:00,276.76,10,0,0,0.4999999999999999,-0.8660254037844387,44.79008928571428,-16.75008928571428,28.04,0.0,36.96,-4.4,2.2,1024.1,7.449999999999999,28.04,0.0,36.96,-4.4,2.2,1023.7,8.2,29.3,0.0,35.7,-3.9,2.4,1023.85,7.2,33.98,0.0,31.020000000000003,-1.7,2.8,1019.1,6.7,53.96,0.0,11.04,11.7,0.5,1013.6,4.1,75.66666666666424,59639.708333333336,52166.322916666664,5725.807705153593,60146.416666666664,60070.75,59734.0,47144.416666666664,47710.416666666664,0.2724817837585047,0.0882827703772987,0.3812813975590991,0.1598201759017605,0.098133872403337,610.09,78.42,29.46,155.19,49.8,40.8,353.67,213.62,19.38,8.56,72.29,21.98,15.89,138.10000000000002,0.23,0.0,0.0,0.2,0.0,0.02,0.22,0.21,0.0,0.0,0.19,0.0,0.02,0.21,2979.66,199.68,46.88,614.94,331.35,126.8,1319.65,0.5562473412117586,0.3678663359554693,0.0758863228327721,6166.53,3015.46,2683.76,467.31,6166.530000000001,6794.96,2747.58,3403.08,644.3,6794.96,9470.62,2807.89,5644.73,1018.0,9470.62,12606.24,2999.51,8531.34,1075.39,12606.24,14491.21,3177.68,9565.25,1748.28,14491.21,-609.51,214.40333333333336,75.47583333333334,152.34851309662864,151.1,760.61,66.27,29.94,19.06,1
2023-01-30 18:00:00,256.32,18,0,0,-1.0,-1.8369701987210294e-16,44.24464285714286,-15.529642857142855,28.715,0.0,36.285,-4.15,2.325,1027.2,6.075,28.67,0.0,36.33,-4.2,2.35,1028.1,5.4,28.04,0.0,36.96,-4.4,2.2,1026.8,8.8,29.3,0.0,35.7,-3.9,2.4,1023.85,7.2,36.5,0.0,28.5,0.0,2.5,1019.55,8.25,-1967.166666666664,60830.597222222226,56162.354166666664,6258.904399650701,57300.5,59267.666666666664,61975.666666666664,59734.0,44956.416666666664,0.4246575342465754,0.1917808219178082,0.273972602739726,0.0821917808219178,0.0273972602739726,168.51,39.65,11.26,7.56,14.11,1.97,74.55,703.16,132.48,51.64,68.05,118.57,23.22,393.96,1832.24,378.73,117.25,234.22,95.62,86.97,912.79,0.23,0.0,0.0,0.2,0.0,0.02,0.22,26.27,0.46,0.25,0.19,1.29,0.0,2.19,0.6573345960674113,0.2692515195503839,0.0734138843822047,5045.59,3238.04,1347.34,460.21,5045.59,5042.43,3335.79,1195.12,511.52,5042.43,5249.11,3566.63,1241.27,441.21,5249.11,9470.62,2807.89,5644.73,1018.0,9470.62,11936.75,3097.86,7537.17,1301.72,11936.75,12.78,108.315,110.37166666666668,152.2140023458582,141.44,128.66,94.46,66.27,48.45,1
2023-03-09 07:00:00,250.07,7,3,0,0.9659258262890684,-0.2588190451025206,62.37392857142857,-5.353928571428568,57.02,0.0,7.979999999999997,11.95,1.950000000000001,1017.2,2.8,57.11,0.0,7.890000000000001,11.85,2.0999999999999996,1017.1,4.1,55.040000000000006,0.0,9.959999999999994,10.766666666666666,2.0333333333333368,1018.75,4.1,56.03,0.0,8.969999999999999,9.15,4.199999999999999,1020.0,4.35,60.08,0.0,4.920000000000002,11.1,4.5,1016.7,4.6,1310.0,45061.027777777774,44190.73611111112,5028.130291055809,48343.416666666664,47033.416666666664,44415.0,37445.083333333336,48977.833333333336,0.0223764479241275,0.0042727654424658,0.6985354046778137,0.2371261330237842,0.0376892489318086,4.11,0.0,0.0,4.07,0.0,0.04,4.11,0.26,0.0,0.0,0.23,0.0,0.03,0.26,0.26,0.0,0.0,0.23,0.0,0.03,0.26,0.23,0.0,0.0,0.21,0.0,0.02,0.2299999999999999,299.72,16.16,7.92,157.58,49.67,20.39,251.72000000000003,0.7504109047178454,0.1893230699981586,0.0602660252839959,4754.54,3593.63,935.16,225.75,4754.54,4878.65,3769.35,1029.2,80.1,4878.650000000001,5904.28,4615.89,1202.34,86.05,5904.280000000001,8060.44,4976.67,2510.22,573.55,8060.44,14594.41,2737.14,10707.69,1149.58,14594.41,20.72,28.015,30.63625,11.950233329539328,49.59,28.87,22.27,29.38,14.6,1
2023-03-21 07:00:00,356.33,7,1,0,0.9659258262890684,-0.2588190451025206,50.62201530612246,1.0579846938775432,51.68,0.0,13.32,3.866666666666667,7.066666666666665,1017.6,8.933333333333334,51.98,0.0,13.020000000000003,3.9,7.199999999999999,1017.7,8.8,51.98,0.0,13.020000000000003,1.7,9.4,1018.05,6.95,53.06,0.0,11.939999999999998,-1.1,12.8,1021.1,11.3,41.0,0.0,24.0,-3.9,8.9,1026.0,3.1,-269.4166666666715,45435.819444444445,44827.73263888888,3160.0676199902064,45451.166666666664,45720.583333333336,45634.416666666664,40714.0,48549.75,0.0156006240249609,0.0561622464898595,0.9032761310452418,0.0,0.0249609984399376,0.25,0.0,0.0,0.21,0.0,0.03,0.24,0.23,0.0,0.0,0.19,0.0,0.03,0.22,0.21,0.0,0.0,0.17,0.0,0.03,0.2,129.64,45.14,3.34,8.43,2.07,3.42,62.400000000000006,37.17,2.04,0.37,31.95,0.03,2.63,37.02,0.254660598953971,0.6235784614811919,0.121760939564837,23164.25,5264.74,15242.41,2657.1,23164.25,24683.44,5067.39,16787.98,2828.07,24683.44,24625.11,5233.54,16690.66,2700.91,24625.11,24032.05,4295.89,16792.57,2943.59,24032.05,17516.69,1358.2,14295.23,1863.26,17516.69,125.92,34.32,19.929583333333333,30.38454090332435,145.59,19.67,9.39,13.03,80.32,1
2023-03-25 20:00:00,434.4,20,5,1,-0.8660254037844386,0.5000000000000001,60.78017857142857,14.239821428571425,75.02,10.019999999999996,0.0,-2.8,26.7,1009.4,5.1,72.5,7.5,0.0,-1.7,24.2,1010.9,6.2,69.98,4.980000000000004,0.0,-1.7,22.8,1011.5,7.2,57.02,0.0,7.979999999999997,1.1,12.8,1006.7,3.1,66.47,1.4699999999999989,0.0,12.8,6.349999999999998,1004.2,4.35,-1857.5,41147.819444444445,41235.027777777774,3720.460409169794,36944.416666666664,38801.916666666664,42232.083333333336,43635.0,37849.833333333336,0.0,0.0,1.0,0.0,0.0,1497.19,250.57,43.76,111.61,89.22,71.87,567.03,7785.03,1384.4,258.89,1423.41,594.01,705.7,4366.41,11739.8,1967.3,374.65,2986.12,875.98,1260.48,7464.529999999999,3545.49,685.27,27.72,1283.46,128.33,482.36,2607.1400000000003,1.49,0.0,0.0,0.19,0.0,0.01,0.2,0.6192288301993597,0.3628031522527463,0.017968017547894,5267.37,2813.33,2354.83,99.21,5267.37,6883.06,2728.33,3940.0,214.73,6883.0599999999995,7306.95,2218.03,4476.33,612.59,7306.950000000001,21320.2,4045.35,14948.8,2326.05,21320.199999999997,20280.41,2969.38,15093.51,2217.52,20280.41,50.349999999999994,28.295,16.844583333333333,15.016990661064067,71.21,20.86,19.01,8.19,15.71,1
2023-03-27 19:00:00,661.7,19,0,0,-0.9659258262890684,0.2588190451025203,65.56089285714286,0.9091071428571382,66.47,1.4699999999999989,0.0,3.5999999999999996,15.55,1018.55,3.1,64.94,0.0,0.0600000000000022,3.9,14.4,1019.0,3.6,53.51,0.0,11.490000000000002,3.5999999999999996,8.35,1019.45,2.85,51.98,0.0,13.020000000000003,1.7,9.4,1014.5,4.1,73.94,8.939999999999998,0.0,6.7,16.6,1009.7,1.5,-2583.0833333333285,45073.25,42874.42013888889,3678.891126737953,41529.833333333336,44112.916666666664,46504.833333333336,44207.25,39048.0,0.4697543859649123,0.144187134502924,0.1572397660818713,0.0912748538011696,0.1375438596491228,3491.36,645.26,213.43,414.26,153.46,178.35,1604.76,6779.06,1132.88,337.73,1274.66,371.78,348.26,3465.3100000000004,9214.74,1213.96,289.78,2285.31,405.67,855.73,5050.450000000001,74.84,7.72,1.41,46.23,1.89,11.62,68.87,1524.86,283.23,46.99,79.32,51.54,76.93,538.01,0.2828474663073598,0.565789433573447,0.1513631001191931,5107.13,1807.94,2771.25,527.94,5107.130000000001,4624.71,1671.67,2602.8,350.24,4624.71,4367.45,1895.64,2211.29,260.52,4367.450000000001,9889.27,875.76,7442.14,1571.37,9889.27,5566.47,2153.73,2587.04,825.7,5566.47,33.16000000000001,51.291666666666664,40.8175,53.183940306466,120.93,87.77,28.32,31.36,132.73,1
2023-03-27 20:00:00,610.09,20,0,0,-0.8660254037844386,0.5000000000000001,65.66160714285714,4.318392857142868,69.98,4.980000000000004,0.0,3.9,17.200000000000003,1017.0,2.1,66.47,1.4699999999999989,0.0,3.5999999999999996,15.55,1018.55,3.1,60.08,0.0,4.920000000000002,3.9,11.7,1019.3,3.1,50.0,0.0,15.0,1.1,8.9,1014.6,2.1,75.92,10.920000000000002,0.0,6.1,18.299999999999997,1009.4,3.6,-1956.75,43937.0,42896.29861111112,3656.639962887629,39573.083333333336,41529.833333333336,45881.083333333336,44867.416666666664,37538.583333333336,0.94320987654321,0.0,0.0543209876543209,0.0,0.0024691358024691,565.6,100.41,30.82,33.61,19.51,29.4,213.74999999999997,3491.36,645.26,213.43,414.26,153.46,178.35,1604.76,8649.76,1241.35,352.57,2060.7,446.26,584.83,4685.71,2725.33,423.42,59.27,639.58,72.28,248.82,1443.37,1.98,0.01,0.0,0.19,0.0,0.0,0.2,0.2056595672808522,0.643863451464466,0.1504769812546818,6560.78,1855.7,3712.02,993.06,6560.780000000001,5107.13,1807.94,2771.25,527.94,5107.130000000001,4741.1,1837.35,2598.54,305.21,4741.099999999999,8456.57,986.32,6105.48,1364.77,8456.57,9344.81,2431.74,5432.63,1480.44,9344.81,540.77,157.84833333333333,62.857916666666675,136.80272635788106,661.7,120.93,24.75,24.07,236.88,1
2023-04-21 20:00:00,425.48,20,4,0,-0.8660254037844386,0.5000000000000001,69.2319642857143,5.788035714285698,75.02,10.019999999999996,0.0,2.8,21.1,1015.0,4.1,74.48,9.480000000000004,0.0,3.85,19.75,1016.2,6.45,71.96,6.959999999999994,0.0,4.4,17.799999999999997,1017.2,8.8,60.08,0.0,4.920000000000002,14.4,1.1999999999999993,1011.4,3.6,80.96,15.959999999999994,0.0,13.9,13.3,1010.9,7.2,-1759.5833333333285,43542.583333333336,43578.82638888888,4776.024578149163,39005.583333333336,40765.166666666664,45213.833333333336,47050.083333333336,38283.416666666664,0.8003502626970227,0.1366024518388791,0.0262697022767075,0.021015761821366,0.0157618213660245,2976.31,584.56,97.27,299.49,132.23,191.28,1304.83,8717.07,1737.51,314.38,1769.34,513.4,837.49,5172.119999999999,11757.33,2029.51,376.57,3046.91,635.4,1299.57,7387.959999999999,6331.54,1341.45,255.18,1231.1,144.34,742.78,3714.85,50.69,3.71,1.08,0.17,0.03,0.04,5.03,0.4551191463123206,0.4555203818818538,0.0893604718058255,2950.78,1847.11,941.64,162.03,2950.78,3819.73,2119.47,1562.35,137.91,3819.73,6169.86,3310.03,2628.59,231.24,6169.860000000001,9384.83,705.83,6970.48,1708.52,9384.83,9036.18,3433.02,4882.09,721.07,9036.18,26.74,26.133333333333336,23.70041666666667,17.17577527625973,49.24,22.5,20.1,18.9,97.9,1
