datetime,TEMP_C,TEMP_qc,DEW_C,DEW_qc,SLP_hPa,SLP_qc,WIND_DIR_deg,WIND_DIR_qc,WIND_SPD_ms,WIND_SPD_qc
2025-01-01 00:00:00,10.3,1.0,1.1,1.0,1020.0,1.0,190.0,1.0,3.1,1.0
2025-01-01 01:00:00,9.4,1.0,1.1,1.0,1020.5,1.0,,9.0,0.0,1.0
2025-01-01 02:00:00,8.9,1.0,1.7,1.0,1020.9,1.0,360.0,1.0,2.1,1.0
2025-01-01 03:00:00,8.05,1.0,1.7,1.0,1021.4,1.0,195.0,1.0,2.85,1.0
2025-01-01 04:00:00,6.7,1.0,1.1,1.0,1022.7,1.0,20.0,1.0,3.6,1.0
2025-01-01 05:00:00,6.7,7.666666666666667,1.7,7.666666666666667,1023.3,7.666666666666667,20.0,7.666666666666667,4.1,7.666666666666667
2025-01-01 06:00:00,6.4,3.0,1.4,3.0,1023.5,3.0,20.0,3.0,4.9,3.0
2025-01-01 07:00:00,5.6,5.0,1.1,5.0,1024.4,5.0,10.0,5.0,4.6,5.0
2025-01-01 08:00:00,5.0,5.0,0.6,5.0,1025.0,5.0,20.0,5.0,4.1,5.0
2025-01-01 09:00:00,4.7,3.0,0.6,3.0,1025.3,3.0,25.0,3.0,4.35,3.0
2025-01-01 10:00:00,3.9,5.0,0.0,5.0,1026.0,5.0,20.0,5.0,4.1,5.0
2025-01-01 11:00:00,2.8,5.0,0.0,5.0,1027.2,5.0,20.0,5.0,3.1,5.0
2025-01-01 12:00:00,2.8,3.0,0.0,3.0,1027.6,3.0,190.0,3.0,2.85,3.0
2025-01-01 13:00:00,3.3,5.0,0.0,5.0,1028.4,5.0,360.0,5.0,2.1,5.0
2025-01-01 14:00:00,5.6,5.0,0.6,5.0,1029.0,5.0,360.0,5.0,4.1,5.0
2025-01-01 15:00:00,6.15,3.0,0.3,3.0,1029.25,3.0,355.0,3.0,4.35,3.0
2025-01-01 16:00:00,7.2,5.0,-1.1,5.0,1029.7,5.0,360.0,5.0,4.6,5.0
2025-01-01 17:00:00,8.3,5.0,-0.6,5.0,1028.5,5.0,20.0,5.0,4.6,5.0
2025-01-01 18:00:00,8.600000000000001,3.0,-0.6,3.0,1027.9,3.0,35.0,3.0,4.1,3.0
2025-01-01 19:00:00,10.0,5.0,-0.6,5.0,1026.5,5.0,20.0,5.0,4.6,5.0
2025-01-01 20:00:00,10.0,5.0,-0.6,5.0,1026.2,5.0,,9.0,2.6,5.0
2025-01-01 21:00:00,10.0,3.0,-0.6,3.0,1025.95,3.0,,9.0,2.35,3.0
2025-01-01 22:00:00,9.4,5.0,-0.6,5.0,1025.4,5.0,40.0,5.0,2.6,5.0
