interval_start_local,pvgrpp_northwest,stppf_northwest,cop_hsl_northwest,gen_northwest
2022-06-30 00:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 01:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 02:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 03:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 04:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 05:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 06:00:00-05:00,2.6,2.9,3.0,2.18
2022-06-30 07:00:00-05:00,44.1,49.2,60.2,92.42
2022-06-30 08:00:00-05:00,186.2,190.1,218.4,280.49
2022-06-30 09:00:00-05:00,265.3,273.5,288.1,356.98
2022-06-30 10:00:00-05:00,273.0,294.2,299.9,372.14
2022-06-30 11:00:00-05:00,278.2,304.5,304.6,373.37
2022-06-30 12:00:00-05:00,276.6,301.7,301.5,362.92
2022-06-30 13:00:00-05:00,284.8,304.6,306.6,363.04
2022-06-30 14:00:00-05:00,284.6,302.8,308.6,366.4
2022-06-30 15:00:00-05:00,284.5,305.2,307.7,367.69
2022-06-30 16:00:00-05:00,286.5,307.8,307.2,365.0
2022-06-30 17:00:00-05:00,234.0,297.5,290.9,355.84
2022-06-30 18:00:00-05:00,261.1,277.2,273.6,310.17
2022-06-30 19:00:00-05:00,148.3,170.7,172.8,178.09
2022-06-30 20:00:00-05:00,21.6,26.0,11.3,26.15
2022-06-30 21:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 22:00:00-05:00,0.0,0.0,0.0,0.0
2022-06-30 23:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 00:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 01:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 02:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 03:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 04:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 05:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 06:00:00-05:00,2.2,2.7,2.7,1.92
2022-07-01 07:00:00-05:00,44.6,51.0,54.8,85.18
2022-07-01 08:00:00-05:00,126.7,173.4,197.5,269.26
2022-07-01 09:00:00-05:00,236.7,271.5,280.1,350.34
2022-07-01 10:00:00-05:00,240.9,285.8,285.8,353.26
2022-07-01 11:00:00-05:00,268.7,302.0,300.8,368.97
2022-07-01 12:00:00-05:00,276.9,301.9,301.3,368.16
2022-07-01 13:00:00-05:00,267.9,298.1,296.8,358.17
2022-07-01 14:00:00-05:00,247.6,295.5,295.1,356.75
2022-07-01 15:00:00-05:00,207.9,279.5,274.8,323.91
2022-07-01 16:00:00-05:00,266.0,287.1,302.4,352.25
2022-07-01 17:00:00-05:00,257.8,285.5,296.0,346.52
2022-07-01 18:00:00-05:00,252.2,271.7,266.5,303.13
2022-07-01 19:00:00-05:00,142.2,161.0,154.6,168.39
2022-07-01 20:00:00-05:00,23.2,26.9,5.6,23.41
2022-07-01 21:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 22:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-01 23:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 00:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 01:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 02:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 03:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 04:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 05:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 06:00:00-05:00,2.3,2.9,2.6,2.37
2022-07-02 07:00:00-05:00,48.3,52.6,53.9,83.23
2022-07-02 08:00:00-05:00,146.9,215.9,198.3,246.01
2022-07-02 09:00:00-05:00,214.1,299.8,311.5,339.86
2022-07-02 10:00:00-05:00,312.6,348.2,349.5,362.23
2022-07-02 11:00:00-05:00,322.8,361.0,362.2,364.19
2022-07-02 12:00:00-05:00,313.6,356.8,357.5,362.09
2022-07-02 13:00:00-05:00,318.5,351.4,352.7,340.99
2022-07-02 14:00:00-05:00,306.6,344.3,349.7,326.88
2022-07-02 15:00:00-05:00,303.8,334.2,354.1,345.26
2022-07-02 16:00:00-05:00,314.8,340.9,340.1,256.85
2022-07-02 17:00:00-05:00,170.2,266.8,306.5,248.02
2022-07-02 18:00:00-05:00,104.8,222.1,268.4,115.78
2022-07-02 19:00:00-05:00,60.2,100.1,144.9,51.45
2022-07-02 20:00:00-05:00,6.2,11.4,21.8,7.28
2022-07-02 21:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 22:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-02 23:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-03 00:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-03 01:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-03 02:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-03 03:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-03 04:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-03 05:00:00-05:00,0.0,0.0,0.0,0.0
2022-07-03 06:00:00-05:00,2.6,2.9,2.9,1.62
2022-07-03 07:00:00-05:00,49.1,55.0,65.0,76.63
2022-07-03 08:00:00-05:00,175.3,203.1,235.8,240.22
2022-07-03 09:00:00-05:00,293.2,304.9,335.3,345.21
2022-07-03 10:00:00-05:00,326.5,350.9,357.7,364.33
2022-07-03 11:00:00-05:00,333.2,363.6,366.6,366.47
2022-07-03 12:00:00-05:00,329.3,357.8,356.5,362.73
2022-07-03 13:00:00-05:00,309.9,338.5,340.6,320.41
2022-07-03 14:00:00-05:00,286.2,317.7,331.3,328.33
2022-07-03 15:00:00-05:00,262.6,318.3,324.6,269.41
2022-07-03 16:00:00-05:00,195.9,265.0,263.3,122.19
2022-07-03 17:00:00-05:00,74.2,144.7,246.3,223.56
2022-07-03 18:00:00-05:00,89.9,143.3,187.5,207.31
2022-07-03 19:00:00-05:00,104.6,142.9,108.0,159.29
2022-07-03 20:00:00-05:00,20.9,26.3,15.8,26.33
