t,price,p,y,u,w,variable_cost,fixed_cost,startup_cost,revenue,profit
1,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22.07,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
3,23.49,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
4,14.78,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
5,8.09,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
6,13.29,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
7,15.5,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
8,15.58,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
9,15.17,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
10,6.8,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
11,10.35,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
12,34.12,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
13,75.02,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
14,109.59,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
15,67.45,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
16,34.16,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
17,26.2,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
18,22.43,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
19,19.6,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
20,19.72,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
21,19.35,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
22,19.15,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
23,19.92,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
24,20.43,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
